Part,Description,List Price,Customer Price,Core Price,Env Charge,Compressed Part
078 103 385 K,Cylinder Head Bolt,3.65,1.65,0,0,078103385K
058 103 415,Valve Guide,8.82,5.38,0,0,058103415
027 103 419,Valve Guide,11.65,5.31,0,0,027103419
037 103 419 B,Valve Guide,8.16,4.97,0,0,037103419B
049 103 419,Valve Guide,5.41,2.48,0,0,049103419
056 103 419 A,Valve Guide,10.94,4.98,0,0,056103419A
038 103 469 AE,Valve Cover w/ Gasket,503.11,218.17,0,0,038103469AE
038 103 469 AF,Valve Cover w/ Gasket,512.91,272.24,0,0,038103469AF
038 103 469 E,Valve Cover,373,197.96,0,0,038103469E
ABV0149,Crankcase Vent Hose,48.44,28.99,0,0,ABV0149
021 103 474,Breather Hose,97.01,65.65,0,0,021103474
06A 103 474 D,Breather Hose,95.56,43.51,0,0,06A103474D
021 103 483 A,Gasket - Valve Cover,24.43,13.75,0,0,021103483A
021 103 483 D,Gasket - Valve Cover,28.6,16.1,0,0,021103483D
022 103 483 E,Gasket - Valve Cover,37.77,21.26,0,0,022103483E
028 103 483 G,Gasket - Valve Cover,21.18,9.74,0,0,028103483G
038 103 483 D,Gasket - Valve Cover,19.99,11.26,0,0,038103483D
03G 103 483 D,Gasket - Valve Cover,32.23,18.14,0,0,03G103483D
03H 103 483 C,Gasket - Valve Cover,45.76,25.76,0,0,03H103483C
051 103 483 A,Gasket - Valve Cover,20.33,11.44,0,0,051103483A
06A 103 483 C,Gasket - Valve Cover,20.21,11.37,0,0,06A103483C
06C 103 483 J,Gasket - Valve Cover,24.23,13.52,0,0,06C103483J
06E 103 483 G,Gasket - Valve Cover,26.13,14.71,0,0,06E103483G
06F 103 483 D,Gasket - Valve Cover,19.59,11.03,0,0,06F103483D
078 103 483 J,Gasket - Valve Cover,19.06,8.76,0,0,078103483J
078 103 483 L,Gasket - Valve Cover,12.98,5.97,0,0,078103483L
079 103 483 K,Gasket - Valve Cover,36.77,21.04,0,0,079103483K
079 103 483 L,Gasket - Valve Cover,36.77,21.1,0,0,079103483L
07K 103 483,Gasket - Valve Cover,25.04,14.09,0,0,07K103483
7B0 103 483,Gasket - Valve Cover,26.7,14.93,0,0,7B0103483
